class,number,section,time,room,prof,enrollment
 COMM 181 - Intro To Human Resource Mgmt ,3637,"002-LEC
Regular","Th 10:00AM - 11:30AM
Mo 8:30AM - 10:00AM","GOODES RM108
GOODES RM108","Rowbotham,Kate
Rowbotham,Kate",90
 COMM 322 - Advanced Corporate Finance ,4697,"001-LEC
Regular","Mo 8:30AM - 10:00AM
Th 10:00AM - 11:30AM","GOODES RM 305
GOODES RM 305","Chaigneau,Pierre
Chaigneau,Pierre",50
 COMM 335 - Marketing Communications ,3671,"001-LEC
Regular","Mo 8:30AM - 10:00AM
Th 10:00AM - 11:30AM","GOODES RM102
GOODES RM102","Libitz,Gregory
Libitz,Gregory",48
 COMM 374 - international Business Strategy ,3695,"001-LEC
Regular","Mo 8:30AM - 10:00AM
Th 10:00AM - 11:30AM","GOODES RM 101
GOODES RM 101","Bartholomew,Susan
Bartholomew,Susan",55
 CURR 310 - Computer Studies (IS) ,2409,"001-LEC
Education","TuTh 8:30AM - 10:30AM
TuTh 8:30AM - 10:30AM
Mo 8:30AM - 10:30AM
TuTh 8:30AM - 10:30AM","DUNMCAN MCARTHUR RM B307
DUNMCAN MCARTHUR RM B307
DUNMCAN MCARTHUR RM B307
DUNMCAN MCARTHUR RM B307","Powley,Wendy L
Powley,Wendy L
Powley,Wendy L
Powley,Wendy L",4
 CURR 318 - Theory Teach&Learn English(IS) ,2411,"001-LEC
Education","TuTh 8:30AM - 10:30AM
TuTh 8:30AM - 10:30AM
TuTh 8:30AM - 10:30AM
TuTh 8:30AM - 10:30AM
Mo 8:30AM - 10:30AM
Mo 8:30AM - 10:30AM
TuTh 8:30AM - 9:30AM
TuTh 8:30AM - 10:30AM","DUNCAN MCARTHUR RM342A
DUNCAN MCARTHUR RM342A
DUNCAN MCARTHUR RM342B
DUNCAN MCARTHUR RM342B
DUNCAN MCARTHUR RM342A
DUNCAN MCARTHUR RM342B
DUNCAN MCARTHUR RM342A
DUNCAN MCARTHUR RM342B","Chin,Jane
Chin,Jane
Chin,Jane
Chin,Jane
Chin,Jane
Chin,Jane
Chin,Jane
Chin,Jane",54
 CURR 322 - Français langue seconde (IS) ,2413,"001-LEC
Education","TuTh 8:30AM - 10:30AM
TuTh 8:30AM - 10:30AM
Mo 8:30AM - 10:30AM
TuTh 8:30AM - 10:30AM","DUNCAN MCARTHUR RM A236
DUNCAN MCARTHUR RM A236
DUNCAN MCARTHUR RM A236
DUNCAN MCARTHUR RM A236","Myers,Marie Josephine
Myers,Marie Josephine
Myers,Marie Josephine
Myers,Marie Josephine",26
 CURR 324 - Geography (IS) ,2414,"001-LEC
Education","TuTh 8:30AM - 10:30AM
TuTh 8:30AM - 10:30AM
Mo 8:30AM - 10:30AM
TuTh 8:30AM - 10:30AM","DUNCAN MCARTHUR RM A240
DUNCAN MCARTHUR RM A240
DUNCAN MCARTHUR RM A240
DUNCAN MCARTHUR RM A240","Smith,Anne
Smith,Anne
Smith,Anne
Smith,Anne",31
 CURR 336 - History Teach Theory&Prac (IS) ,2415,"001-LEC
Education","TuTh 8:30AM - 10:30AM
TuTh 8:30AM - 10:30AM
Mo 8:30AM - 10:30AM
TuTh 8:30AM - 10:30AM","DUNCAN MCARTHUR RM A234
DUNCAN MCARTHUR RM A234
DUNCAN MCARTHUR RM A234
DUNCAN MCARTHUR RM A234","Bruno-Jofre,Rosa
Bruno-Jofre,Rosa
Bruno-Jofre,Rosa
Bruno-Jofre,Rosa",29
 CURR 336 - History Teach Theory&Prac (IS) ,2417,"003-LEC
Education","Tu 8:30AM - 10:30AM
Mo 8:30AM - 12:30PM
We 10:50AM - 12:50PM
We 10:50AM - 12:50PM
Mo 8:30AM - 10:30AM
Mo 8:30AM - 10:30AM","DUNCAN MCARTHUR RM A234
DUNCAN MCARTHUR RM A234
DUNCAN MCARTHUR RM A234
DUNCAN MCARTHUR RM A234
DUNCAN MCARTHUR RM A234
DUNCAN MCARTHUR RM A234","Bruno-Jofre,Rosa
Bruno-Jofre,Rosa
Bruno-Jofre,Rosa
Bruno-Jofre,Rosa
Bruno-Jofre,Rosa
Bruno-Jofre,Rosa",28
 CURR 352 - Physics Teach Theory&Prac (IS) ,2420,"001-LEC
Education","TuTh 8:30AM - 10:30AM
TuTh 8:30AM - 10:30AM
Mo 8:30AM - 10:30AM
TuTh 8:30AM - 10:30AM","DUNCAN MCARTHUR RM A335
DUNCAN MCARTHUR RM A335
DUNCAN MCARTHUR RM A335
DUNCAN MCARTHUR RM A335","Russell,Tom
Russell,Tom
Russell,Tom
Russell,Tom",9
 CURR 355B - Language and Literacy (PJ) ,2421,"001-LEC
Education","Mo 3:30PM - 5:30PM
Mo 8:30AM - 10:30AM
Mo 8:30AM - 12:30PM
Mo 8:30AM - 10:30AM","DUNCAN MCARTHUR RM A227W
DUNCAN MCARTHUR RM A227W
DUNCAN MCARTHUR RM A227W
DUNCAN MCARTHUR RM A227W","Beach,Pamela
Beach,Pamela
Beach,Pamela
Beach,Pamela",40
 CURR 355B - Language and Literacy (PJ) ,2422,"002-LEC
Education","Tu 8:30AM - 10:30AM
Tu 8:30AM - 10:30AM
Mo 8:30AM - 10:30AM
Tu 8:30AM - 10:30AM","DUNCAN MCARTHUR RM A227W
DUNCAN MCARTHUR RM A227W
DUNCAN MCARTHUR RM A227W
DUNCAN MCARTHUR RM A227W","Youmans,Alexandra Sandra
Youmans,Alexandra Sandra
Youmans,Alexandra Sandra
Youmans,Alexandra Sandra",38
 CURR 380 - Visual Arts (IS) ,2431,"001-LEC
Education","TuTh 8:30AM - 10:30AM
TuTh 8:30AM - 10:30AM
Mo 8:30AM - 10:30AM
TuTh 8:30AM - 10:30AM","DUNCAN MCARTHUR RM A330
DUNCAN MCARTHUR RM A330
DUNCAN MCARTHUR RM A330
DUNCAN MCARTHUR RM A330","Wilikinson,Alan
Wilikinson,Alan
Wilikinson,Alan
Wilikinson,Alan",15
